address;city 
De Scheiding 59;  Opende
Busch 12;  Krommenie
Abdijweg 62;  Weerselo
Rhederweg 204 (N969);  BELLINGWOLDE
Nw. Weteringseweg 1 (N234);  GROENEKAN
Fortuinweg 3;  Zaandijk
Groene Kruisweg 44;  ROTTERDAM
Groene Kruisweg 45;  ROTTERDAM
Matlingeweg 11;  ROTTERDAM
Eibergseweg 81;  GROENLO
Laan der Verenigde Naties 1A;  Middelburg
Gooilandseweg t/o 2 (N236);  WEESP
Neherkade 2980;  DEN HAAG
Weerdhuisweg 11;  Lemelerveld
De Flinesstraat 9;  Amsterdam-Duivendrecht
Brem 4;  Best
Nieuwgraaf 28;  Duiven
Thermiekstraat 15;  Nuth
Beneluxlaan 1001;  UTRECHT
Kweekgrasstraat 2;  ALMERE
Kapittelweg 5;  BREDA
Ringdijk 650;  ZWIJNDRECHT
Heerbaan 190;  BREDA
Korte Langesteijn 2;  HENDRIK-IDO-AMBACHT
Zwolseweg 50;  's-Heerenbroek
Warnsveldseweg 170;  ZUTPHEN
Het Haagje 145;  Hoogeveen
Doctor C. Lelyweg 31;  ARNHEM
Huizingalaan 2;  EINDHOVEN
Terborgseweg 215 (N317);  DOETINCHEM
Rijksweg 2a (N280);  BAEXEM
Aldlansdyk 5;  LEEUWARDEN
Landbouwweg 18;  Zeewolde
Baan 43;  Biddinghuizen
De Noord 99a;  De
Millseweg 25 (N602);  WANROIJ
Raadhuislaan 48;  MIJNSHEERENLAND
De Fok 4;  Schagen
Energieweg 100;  NIJMEGEN
De Helling 1;  ALBLASSERDAM
Provincialeweg Noord 82a;  DOENRADE
Deestersteeg 1;  DEEST
Koningsweg 17;  Soest
Goudseweg 34 (N459);  BODEGRAVEN
Voorzand 1;  RIDDERKERK
Zijdwende 2;  MIDWOLDA
De Striptekenaar 83;  ALMERE
Zegerbaan 2;  ALPHEN A/D RIJN
Dorpsstraat 75A;  De Wijk
De Zuid 41;  DRONTEN
Rijksstraatweg 28;  DORDRECHT
Maaseikerweg 19 (N296);  ROOSTEREN
Ir Molsweg 1;  HUISSEN
Stationsweg 38;  WEZEP
Nieuweweg 101;  HATTEM
Provincialeweg 1;  SCHELLUINEN
Weg der Verenigde Naties 10;  IJSSELSTEIN
Weg der Verenigde Naties 9;  IJSSELSTEIN
Noorddammerlaan 11-13;  AMSTELVEEN
Rieteweg 6;  ZWOLLE
Wassenaarseweg 65;  KATWIJK
1e Energieweg 17;  RODEN
Einsteinstraat 5;  LANDGRAAF
De Brei 12;  INGEN
Rijksweg A28 1;  WEZEP
Graaf Engelbertlaan 200;  BREDA
Oldeneelallee 99;  ZWOLLE
Rijksweg A1;  STROE
Schijndelseweg 61;  BOXTEL
Schadewijkstraat 70;  EERSEL
Rijksweg A28 WZ 1;  WEZEP
Burchtstraat 9;  KUINRE
Steenwijkerweg 1;  BLOKZIJL
Kloosterstraat 120a;  HEYTHUYSEN
Pastoor Stassenstraat 49;  VENLO
Emmaberg 40;  VALKENBURG a/d GEUL
In de Cramer 15;  HEERLEN
Wiebachstraat 5;  KERKRADE
Ambachtsstraat 17;  NIJKERK GLD
M.A Reinaldaweg 10 (N210);  LOPIK
Gooilandseweg 2 (N236);  WEESP
M.A. Reinaldaweg t/o 10 (N210);  LOPIK
Schroefstraat 18;  LELYSTAD
Marsdiep 2;  URK
Randweg 16;  EMMELOORD
Het Hooiveld 1;  EMMELOORD
Flevoweg 2;  VOLLENHOVE
Ruxveenseweg 2;  STEENWIJK
Boekelseweg 3;  GEMERT
Moonslaan 2;  MAARHEEZE
Provincialeweg 120 (N831);  VELDDRIEL
Beemdweg 4C;  HOOGBLOKLAND
Lemsterpad 38a;  LEMMER
Antwerpseweg 1;  HEERLEN
Borculoseweg 57;  Groenlo
Den Sliem 98;  Groenlo
van Heemstraweg 1 (N322);  ROSSUM
Ringbaan Zuid 31;  WEERT
Rijksweg A28;  NUNSPEET
Ceintuurbaan 54;  ZWOLLE
